,Name,Genre,Year,reviews,min_rating,avr_rating,max_rating
1,Toy Story ,Animation|Children's|Comedy,1995,2077.0,1.0,4.146846413095811,5.0
2,Jumanji ,Adventure|Children's|Fantasy,1995,701.0,1.0,3.20114122681883,5.0
3,Grumpier Old Men ,Comedy|Romance,1995,478.0,1.0,3.01673640167364,5.0
4,Waiting to Exhale ,Comedy|Drama,1995,170.0,1.0,2.7294117647058824,5.0
5,Father of the Bride Part II ,Comedy,1995,296.0,1.0,3.0067567567567566,5.0
6,Heat ,Action|Crime|Thriller,1995,940.0,1.0,3.8787234042553194,5.0
7,Sabrina ,Comedy|Romance,1995,458.0,1.0,3.410480349344978,5.0
8,Tom and Huck ,Adventure|Children's,1995,68.0,1.0,3.014705882352941,5.0
9,Sudden Death ,Action,1995,102.0,1.0,2.656862745098039,5.0
10,GoldenEye ,Action|Adventure|Thriller,1995,888.0,1.0,3.5405405405405403,5.0
11,"American President, The ",Comedy|Drama|Romance,1995,1033.0,1.0,3.7938044530493706,5.0
12,Dracula: Dead and Loving It ,Comedy|Horror,1995,160.0,1.0,2.3625,5.0
13,Balto ,Animation|Children's,1995,99.0,1.0,3.2626262626262625,5.0
14,Nixon ,Drama,1995,153.0,1.0,3.542483660130719,5.0
15,Cutthroat Island ,Action|Adventure|Romance,1995,146.0,1.0,2.458904109589041,5.0
16,Casino ,Drama|Thriller,1995,682.0,1.0,3.7932551319648096,5.0
17,Sense and Sensibility ,Drama|Romance,1995,835.0,1.0,4.027544910179641,5.0
18,Four Rooms ,Thriller,1995,157.0,1.0,3.337579617834395,5.0
19,Ace Ventura: When Nature Calls ,Comedy,1995,389.0,1.0,2.480719794344473,5.0
20,Money Train ,Action,1995,160.0,1.0,2.5375,4.0
21,Get Shorty ,Action|Comedy|Drama,1995,1356.0,1.0,3.6238938053097347,5.0
22,Copycat ,Crime|Drama|Thriller,1995,378.0,1.0,3.3492063492063493,5.0
23,Assassins ,Thriller,1995,126.0,1.0,2.857142857142857,5.0
24,Powder ,Drama|Sci-Fi,1995,624.0,1.0,3.1794871794871793,5.0
25,Leaving Las Vegas ,Drama|Romance,1995,980.0,1.0,3.6510204081632653,5.0
26,Othello ,Drama,1995,100.0,1.0,3.53,5.0
27,Now and Then ,Drama,1995,61.0,1.0,2.9344262295081966,5.0
28,Persuasion ,Romance,1995,179.0,1.0,4.055865921787709,5.0
29,"City of Lost Children, The ",Adventure|Sci-Fi,1995,403.0,1.0,4.062034739454094,5.0
