ID,Gender,Age,Occupation,Zip,reviews,min_rating,avr_rating,max_rating
1,F,Under 18,K-12 student,48067,53,3,4.188679245283019,5
2,M,56+,self-employed,70072,129,1,3.7131782945736433,5
3,M,25-34,scientist,55117,51,1,3.9019607843137254,5
4,M,45-49,executive/managerial,02460,21,1,4.190476190476191,5
5,M,25-34,writer,55455,198,1,3.1464646464646466,5
6,F,50-55,homemaker,55117,71,1,3.9014084507042255,5
7,M,35-44,academic/educator,06810,31,3,4.32258064516129,5
8,M,25-34,programmer,11413,139,2,3.884892086330935,5
9,M,25-34,technician/engineer,61614,106,2,3.7358490566037736,5
10,F,35-44,academic/educator,95370,401,2,4.114713216957606,5
11,F,25-34,academic/educator,04093,137,1,3.2773722627737225,5
12,M,25-34,programmer,32793,23,1,3.8260869565217392,5
13,M,45-49,academic/educator,93304,108,1,3.388888888888889,5
14,M,35-44,other,60126,25,1,3.32,5
15,M,25-34,executive/managerial,22903,201,1,3.3233830845771144,5
16,F,35-44,other,20670,35,1,3.0285714285714285,5
17,M,50-55,academic/educator,95350,211,2,4.075829383886256,5
18,F,18-24,clerical/admin,95825,305,1,3.6491803278688524,5
19,M,Under 18,K-12 student,48073,255,1,3.5725490196078433,5
20,M,25-34,sales/marketing,55113,24,2,4.083333333333333,5
21,M,18-24,self-employed,99353,22,1,2.909090909090909,5
22,M,18-24,scientist,53706,297,1,3.0673400673400675,5
23,M,35-44,other,90049,304,1,3.3157894736842106,5
24,F,25-34,executive/managerial,10023,136,1,3.948529411764706,5
25,M,18-24,college/grad student,01609,85,1,3.7411764705882353,5
26,M,25-34,executive/managerial,23112,400,1,2.96,5
27,M,25-34,lawyer,19130,70,1,4.171428571428572,5
28,F,25-34,academic/educator,14607,107,2,3.7570093457943927,5
29,M,35-44,executive/managerial,33407,108,1,3.5833333333333335,5
30,F,35-44,executive/managerial,19143,43,2,3.488372093023256,5
31,M,56+,executive/managerial,06840,119,1,3.73109243697479,5
32,F,25-34,other,19355,48,1,3.625,5
33,M,45-49,clerical/admin,55421,391,1,3.498721227621483,5
34,F,18-24,other,02135,164,1,3.8658536585365852,5
35,M,45-49,academic/educator,02482,198,1,3.54040404040404,5
36,M,25-34,clerical/admin,94123,351,1,4.199430199430199,5
37,F,25-34,homemaker,66212,53,1,3.69811320754717,5
38,F,18-24,college/grad student,02215,100,1,3.58,5
39,M,18-24,college/grad student,61820,62,1,3.564516129032258,5
40,M,45-49,other,10543,96,1,3.4479166666666665,5
