,age,alone,class=First,class=Second,class=Third,embarked=C,embarked=Q,embarked=S,fare,is_male,parch,pclass,sibsp,survived,who=child,who=man,who=woman
0,22,0,0,0,1,0,0,1,7,1,0,3,1,0,0,1,0
1,38,0,1,0,0,1,0,0,71,0,0,1,1,1,0,0,1
2,26,1,0,0,1,0,0,1,7,0,0,3,0,1,0,0,1
3,35,0,1,0,0,0,0,1,53,0,0,1,1,1,0,0,1
4,35,1,0,0,1,0,0,1,8,1,0,3,0,0,0,1,0
5,33,1,0,0,1,0,1,0,8,1,0,3,0,0,0,1,0
6,54,1,1,0,0,0,0,1,51,1,0,1,0,0,0,1,0
7,2,0,0,0,1,0,0,1,21,1,1,3,3,0,1,0,0
8,27,0,0,0,1,0,0,1,11,0,2,3,0,1,0,0,1
9,14,0,0,1,0,1,0,0,30,0,0,2,1,1,1,0,0
10,4,0,0,0,1,0,0,1,16,0,1,3,1,1,1,0,0
11,58,1,1,0,0,0,0,1,26,0,0,1,0,1,0,0,1
12,20,1,0,0,1,0,0,1,8,1,0,3,0,0,0,1,0
13,39,0,0,0,1,0,0,1,31,1,5,3,1,0,0,1,0
14,14,1,0,0,1,0,0,1,7,0,0,3,0,0,1,0,0
15,55,1,0,1,0,0,0,1,16,0,0,2,0,1,0,0,1
16,2,0,0,0,1,0,1,0,29,1,1,3,4,0,1,0,0
17,33,1,0,1,0,0,0,1,13,1,0,2,0,1,0,1,0
18,31,0,0,0,1,0,0,1,18,0,0,3,1,0,0,0,1
19,32,1,0,0,1,1,0,0,7,0,0,3,0,1,0,0,1
20,35,1,0,1,0,0,0,1,26,1,0,2,0,0,0,1,0
21,34,1,0,1,0,0,0,1,13,1,0,2,0,1,0,1,0
22,15,1,0,0,1,0,1,0,8,0,0,3,0,1,1,0,0
23,28,1,1,0,0,0,0,1,35,1,0,1,0,1,0,1,0
24,8,0,0,0,1,0,0,1,21,0,1,3,3,0,1,0,0
25,38,0,0,0,1,0,0,1,31,0,5,3,1,1,0,0,1
